filename,snapshot,bearing_id,cv_score,cv_flag
2004.02.12.10.32.39_b1_ch1,2004.02.12.10.32.39,b1_ch1,0.004398563876748085,0
2004.02.12.10.32.39_b2_ch1,2004.02.12.10.32.39,b2_ch1,0.0041609834879636765,0
2004.02.12.10.32.39_b3_ch1,2004.02.12.10.32.39,b3_ch1,0.009444666095077991,0
2004.02.12.10.32.39_b4_ch1,2004.02.12.10.32.39,b4_ch1,0.007429859135299921,0
2004.02.12.10.42.39_b1_ch1,2004.02.12.10.42.39,b1_ch1,0.005163527559489012,0
2004.02.12.10.42.39_b2_ch1,2004.02.12.10.42.39,b2_ch1,0.005949531216174364,0
2004.02.12.10.42.39_b3_ch1,2004.02.12.10.42.39,b3_ch1,0.008765761740505695,0
2004.02.12.10.42.39_b4_ch1,2004.02.12.10.42.39,b4_ch1,0.005152999889105558,0
2004.02.12.10.52.39_b1_ch1,2004.02.12.10.52.39,b1_ch1,0.006550523918122053,0
2004.02.12.10.52.39_b2_ch1,2004.02.12.10.52.39,b2_ch1,0.005684424191713333,0
2004.02.12.10.52.39_b3_ch1,2004.02.12.10.52.39,b3_ch1,0.010854159481823444,0
2004.02.12.10.52.39_b4_ch1,2004.02.12.10.52.39,b4_ch1,0.006003988906741142,0
2004.02.12.11.02.39_b1_ch1,2004.02.12.11.02.39,b1_ch1,0.004755144473165274,0
2004.02.12.11.02.39_b2_ch1,2004.02.12.11.02.39,b2_ch1,0.006678231060504913,0
2004.02.12.11.02.39_b3_ch1,2004.02.12.11.02.39,b3_ch1,0.011365480720996857,0
2004.02.12.11.02.39_b4_ch1,2004.02.12.11.02.39,b4_ch1,0.0041387625969946384,0
2004.02.12.11.12.39_b1_ch1,2004.02.12.11.12.39,b1_ch1,0.004653528798371553,0
2004.02.12.11.12.39_b2_ch1,2004.02.12.11.12.39,b2_ch1,0.005785174667835236,0
2004.02.12.11.12.39_b3_ch1,2004.02.12.11.12.39,b3_ch1,0.006272248923778534,0
2004.02.12.11.12.39_b4_ch1,2004.02.12.11.12.39,b4_ch1,0.007179515901952982,0
2004.02.12.11.22.39_b1_ch1,2004.02.12.11.22.39,b1_ch1,0.006729780230671167,0
2004.02.12.11.22.39_b2_ch1,2004.02.12.11.22.39,b2_ch1,0.005310237407684326,0
2004.02.12.11.22.39_b3_ch1,2004.02.12.11.22.39,b3_ch1,0.006553722079843283,0
2004.02.12.11.22.39_b4_ch1,2004.02.12.11.22.39,b4_ch1,0.004510360304266214,0
2004.02.12.11.32.39_b1_ch1,2004.02.12.11.32.39,b1_ch1,0.006402750965207815,0
2004.02.12.11.32.39_b2_ch1,2004.02.12.11.32.39,b2_ch1,0.006535492371767759,0
2004.02.12.11.32.39_b3_ch1,2004.02.12.11.32.39,b3_ch1,0.005870235618203878,0
2004.02.12.11.32.39_b4_ch1,2004.02.12.11.32.39,b4_ch1,0.003970728721469641,0
2004.02.12.11.42.39_b1_ch1,2004.02.12.11.42.39,b1_ch1,0.007262624334543943,0
2004.02.12.11.42.39_b2_ch1,2004.02.12.11.42.39,b2_ch1,0.004930804017931223,0
2004.02.12.11.42.39_b3_ch1,2004.02.12.11.42.39,b3_ch1,0.006563363131135702,0
2004.02.12.11.42.39_b4_ch1,2004.02.12.11.42.39,b4_ch1,0.009020905010402203,0
2004.02.12.11.52.39_b1_ch1,2004.02.12.11.52.39,b1_ch1,0.006100809667259455,0
2004.02.12.11.52.39_b2_ch1,2004.02.12.11.52.39,b2_ch1,0.004542699083685875,0
2004.02.12.11.52.39_b3_ch1,2004.02.12.11.52.39,b3_ch1,0.009270147420465946,0
2004.02.12.11.52.39_b4_ch1,2004.02.12.11.52.39,b4_ch1,0.007275030016899109,0
2004.02.12.12.02.39_b1_ch1,2004.02.12.12.02.39,b1_ch1,0.005356904119253159,0
2004.02.12.12.02.39_b2_ch1,2004.02.12.12.02.39,b2_ch1,0.004647299647331238,0
2004.02.12.12.02.39_b3_ch1,2004.02.12.12.02.39,b3_ch1,0.00881144218146801,0
2004.02.12.12.02.39_b4_ch1,2004.02.12.12.02.39,b4_ch1,0.004260476212948561,0
2004.02.12.12.12.39_b1_ch1,2004.02.12.12.12.39,b1_ch1,0.005908124148845673,0
2004.02.12.12.12.39_b2_ch1,2004.02.12.12.12.39,b2_ch1,0.006053384393453598,0
2004.02.12.12.12.39_b3_ch1,2004.02.12.12.12.39,b3_ch1,0.006333057302981615,0
2004.02.12.12.12.39_b4_ch1,2004.02.12.12.12.39,b4_ch1,0.005408798810094595,0
2004.02.12.12.22.39_b1_ch1,2004.02.12.12.22.39,b1_ch1,0.005683673545718193,0
2004.02.12.12.22.39_b2_ch1,2004.02.12.12.22.39,b2_ch1,0.004708334803581238,0
2004.02.12.12.22.39_b3_ch1,2004.02.12.12.22.39,b3_ch1,0.008390928618609905,0
2004.02.12.12.22.39_b4_ch1,2004.02.12.12.22.39,b4_ch1,0.0058347140438854694,0
2004.02.12.12.32.39_b1_ch1,2004.02.12.12.32.39,b1_ch1,0.005344946403056383,0
2004.02.12.12.32.39_b2_ch1,2004.02.12.12.32.39,b2_ch1,0.005824210587888956,0
2004.02.12.12.32.39_b3_ch1,2004.02.12.12.32.39,b3_ch1,0.007915005087852478,0
2004.02.12.12.32.39_b4_ch1,2004.02.12.12.32.39,b4_ch1,0.0076236301101744175,0
2004.02.12.12.42.39_b1_ch1,2004.02.12.12.42.39,b1_ch1,0.0065679606050252914,0
2004.02.12.12.42.39_b2_ch1,2004.02.12.12.42.39,b2_ch1,0.004493719898164272,0
2004.02.12.12.42.39_b3_ch1,2004.02.12.12.42.39,b3_ch1,0.006330595817416906,0
2004.02.12.12.42.39_b4_ch1,2004.02.12.12.42.39,b4_ch1,0.005456382874399424,0
2004.02.12.12.52.39_b1_ch1,2004.02.12.12.52.39,b1_ch1,0.005526729393750429,0
2004.02.12.12.52.39_b2_ch1,2004.02.12.12.52.39,b2_ch1,0.004961855709552765,0
2004.02.12.12.52.39_b3_ch1,2004.02.12.12.52.39,b3_ch1,0.008367794565856457,0
2004.02.12.12.52.39_b4_ch1,2004.02.12.12.52.39,b4_ch1,0.0069674779660999775,0
2004.02.12.13.02.39_b1_ch1,2004.02.12.13.02.39,b1_ch1,0.005280600395053625,0
2004.02.12.13.02.39_b2_ch1,2004.02.12.13.02.39,b2_ch1,0.004686669912189245,0
2004.02.12.13.02.39_b3_ch1,2004.02.12.13.02.39,b3_ch1,0.009049482643604279,0
2004.02.12.13.02.39_b4_ch1,2004.02.12.13.02.39,b4_ch1,0.004998985677957535,0
2004.02.12.13.12.39_b1_ch1,2004.02.12.13.12.39,b1_ch1,0.004533289931714535,0
2004.02.12.13.12.39_b2_ch1,2004.02.12.13.12.39,b2_ch1,0.005494286771863699,0
2004.02.12.13.12.39_b3_ch1,2004.02.12.13.12.39,b3_ch1,0.008667158894240856,0
2004.02.12.13.12.39_b4_ch1,2004.02.12.13.12.39,b4_ch1,0.00521881366148591,0
2004.02.12.13.22.39_b1_ch1,2004.02.12.13.22.39,b1_ch1,0.007131714839488268,0
2004.02.12.13.22.39_b2_ch1,2004.02.12.13.22.39,b2_ch1,0.004820914473384619,0
2004.02.12.13.22.39_b3_ch1,2004.02.12.13.22.39,b3_ch1,0.010564509779214859,0
2004.02.12.13.22.39_b4_ch1,2004.02.12.13.22.39,b4_ch1,0.005266901105642319,0
2004.02.12.13.32.39_b1_ch1,2004.02.12.13.32.39,b1_ch1,0.004643606022000313,0
2004.02.12.13.32.39_b2_ch1,2004.02.12.13.32.39,b2_ch1,0.004835072904825211,0
2004.02.12.13.32.39_b3_ch1,2004.02.12.13.32.39,b3_ch1,0.006684483494609594,0
2004.02.12.13.32.39_b4_ch1,2004.02.12.13.32.39,b4_ch1,0.005647491198033094,0
2004.02.12.13.42.39_b1_ch1,2004.02.12.13.42.39,b1_ch1,0.005540336016565561,0
2004.02.12.13.42.39_b2_ch1,2004.02.12.13.42.39,b2_ch1,0.004567957948893309,0
2004.02.12.13.42.39_b3_ch1,2004.02.12.13.42.39,b3_ch1,0.005428379401564598,0
2004.02.12.13.42.39_b4_ch1,2004.02.12.13.42.39,b4_ch1,0.009694607928395271,0
2004.02.12.13.52.39_b1_ch1,2004.02.12.13.52.39,b1_ch1,0.007786781061440706,0
2004.02.12.13.52.39_b2_ch1,2004.02.12.13.52.39,b2_ch1,0.005662303883582354,0
2004.02.12.13.52.39_b3_ch1,2004.02.12.13.52.39,b3_ch1,0.006896631326526403,0
2004.02.12.13.52.39_b4_ch1,2004.02.12.13.52.39,b4_ch1,0.0085360212251544,0
2004.02.12.14.02.39_b1_ch1,2004.02.12.14.02.39,b1_ch1,0.0057332576252520084,0
2004.02.12.14.02.39_b2_ch1,2004.02.12.14.02.39,b2_ch1,0.004847858566790819,0
2004.02.12.14.02.39_b3_ch1,2004.02.12.14.02.39,b3_ch1,0.008726856671273708,0
2004.02.12.14.02.39_b4_ch1,2004.02.12.14.02.39,b4_ch1,0.005382718052715063,0
2004.02.12.14.12.39_b1_ch1,2004.02.12.14.12.39,b1_ch1,0.0059509905986487865,0
2004.02.12.14.12.39_b2_ch1,2004.02.12.14.12.39,b2_ch1,0.0061294217593967915,0
2004.02.12.14.12.39_b3_ch1,2004.02.12.14.12.39,b3_ch1,0.007731494028121233,0
2004.02.12.14.12.39_b4_ch1,2004.02.12.14.12.39,b4_ch1,0.006287765223532915,0
