snapshot,b1_ch1_score,b1_ch1_flag,b2_ch1_score,b2_ch1_flag,b3_ch1_score,b3_ch1_flag,b4_ch1_score,b4_ch1_flag,composite_score,composite_flag
2004.02.12.10.32.39,0.11150636600011887,1,-0.006794721793358605,0,0.055129792075041095,1,0.0021582196701616096,1,0.11150636600011887,1
2004.02.12.10.42.39,0.05836987638666813,1,-0.05605486705526863,0,-0.12156040470592389,0,-0.1004355267308526,0,0.05836987638666813,1
2004.02.12.10.52.39,0.07252023204731517,1,-0.09808561406381539,0,-0.04086061701238941,0,-0.02095825329387979,0,0.07252023204731517,1
2004.02.12.11.02.39,0.14731860467472313,1,-0.048111275081518245,0,-0.061052094762999,0,0.12226892108042886,1,0.14731860467472313,1
2004.02.12.11.12.39,-0.0391099746076794,0,-0.1725300775670589,0,-0.15290045548385856,0,-0.14364692871534013,0,-0.0391099746076794,0
2004.02.12.11.22.39,-0.025460914932661005,0,-0.03762462333366279,0,-0.08171856906608133,0,-0.05917527040707893,0,-0.025460914932661005,0
2004.02.12.11.32.39,-0.13187220439386904,0,-0.06901264062284862,0,-0.09603204294129597,0,-0.14128184934772958,0,-0.06901264062284862,0
2004.02.12.11.42.39,-0.11364672412375998,0,-0.12181407611544698,0,-0.11251373532389891,0,-0.11657662971453397,0,-0.11251373532389891,0
2004.02.12.11.52.39,-0.10688777729391369,0,0.046292030512059434,1,-0.08572990199423569,0,-0.03173357790296527,0,0.046292030512059434,1
2004.02.12.12.02.39,-0.0641348687418849,0,-0.09027114716530021,0,-0.08738666796056338,0,-0.09170848075830518,0,-0.0641348687418849,0
2004.02.12.12.12.39,-0.16700478620461467,0,-0.11184304032943676,0,-0.13535492084110246,0,-0.06276698496752975,0,-0.06276698496752975,0
2004.02.12.12.22.39,-0.0665836485825384,0,-0.02957451394106614,0,-0.13794543712422586,0,-0.16010540813662966,0,-0.02957451394106614,0
2004.02.12.12.32.39,-0.16437980050128453,0,-0.053783886181347884,0,-0.15006708792862128,0,-0.08318757245203628,0,-0.053783886181347884,0
2004.02.12.12.42.39,-0.11362185825537346,0,-0.12160413641655832,0,-0.108495365578824,0,-0.1725264994272926,0,-0.108495365578824,0
2004.02.12.12.52.39,-0.16238982174775185,0,-0.15555871017882894,0,-0.19017359626425584,0,-0.07118918335509572,0,-0.07118918335509572,0
2004.02.12.13.02.39,-0.13120800225622042,0,-0.1437747988297503,0,-0.1771281496700945,0,-0.09491637281375898,0,-0.09491637281375898,0
2004.02.12.13.12.39,-0.14586239905502546,0,-0.14080722725596928,0,-0.14014129457546604,0,-0.1630503243600787,0,-0.14014129457546604,0
2004.02.12.13.22.39,-0.07811187419653759,0,-0.08766828688834866,0,-0.13061844977198,0,-0.07689167185847146,0,-0.07689167185847146,0
2004.02.12.13.32.39,-0.15712329928898816,0,-0.11575726115262908,0,-0.08619860933279189,0,-0.13778022327929673,0,-0.08619860933279189,0
2004.02.12.13.42.39,-0.1010630259633129,0,-0.17762495490321828,0,-0.11509492856553993,0,-0.14865128679872608,0,-0.1010630259633129,0
2004.02.12.13.52.39,-0.15132617853707087,0,-0.11901721201530469,0,-0.13919869514649252,0,-0.14542186838907595,0,-0.11901721201530469,0
2004.02.12.14.02.39,-0.15944060864553716,0,-0.1484687520944627,0,-0.16477109475028995,0,-0.1300611806599788,0,-0.1300611806599788,0
2004.02.12.14.12.39,-0.11998908366561611,0,-0.16927697561646854,0,-0.1103759462318038,0,-0.056556970479039737,0,-0.056556970479039737,0
2004.02.12.14.22.39,-0.09755835059014628,0,-0.17187752265822476,0,-0.16438456284139807,0,-0.16084866738264475,0,-0.09755835059014628,0
2004.02.12.14.32.39,-0.11800566216814135,0,0.002078968510084378,1,-0.16950377922415621,0,-0.14355808122762376,0,0.002078968510084378,1
2004.02.12.14.42.39,-0.12890258368748986,0,-0.0482840548076614,0,-0.17714935700760648,0,-0.15307737033121055,0,-0.0482840548076614,0
2004.02.12.14.52.39,-0.18482908736018122,0,-0.16876242150907678,0,-0.16183416458987943,0,-0.18226896919420477,0,-0.16183416458987943,0
2004.02.12.15.02.39,-0.1225052389467935,0,-0.14660404949806916,0,-0.05246419546453407,0,-0.16093704190011282,0,-0.05246419546453407,0
2004.02.12.15.12.39,-0.10827009066403631,0,-0.10903740777642912,0,-0.08591571476464088,0,-0.12414823785481577,0,-0.08591571476464088,0
2004.02.12.15.22.39,-0.10967649637727933,0,-0.13882522169777062,0,-0.14011687831856323,0,-0.16539394482025066,0,-0.10967649637727933,0
2004.02.12.15.32.39,-0.15219273352492152,0,-0.15991074133022393,0,-0.1599608269673971,0,-0.07711312405568382,0,-0.07711312405568382,0
2004.02.12.15.42.39,-0.15893868097508107,0,-0.18558356419636118,0,-0.1466909469037494,0,-0.1703104293672274,0,-0.1466909469037494,0
2004.02.12.15.52.39,-0.09109356808794805,0,-0.09709974905136987,0,-0.17299493106108954,0,-0.04800759745211569,0,-0.04800759745211569,0
2004.02.12.16.02.39,-0.09306900896787068,0,-0.09355156786987395,0,-0.16230521121320196,0,-0.08521999235479116,0,-0.08521999235479116,0
2004.02.12.16.12.39,-0.0747180255064368,0,-0.034369293547052426,0,-0.10566699149394004,0,-0.12122827420364485,0,-0.034369293547052426,0
2004.02.12.16.22.39,-0.159068372616453,0,-0.14921488503765873,0,-0.14791913803537787,0,-0.19646456085699698,0,-0.14791913803537787,0
2004.02.12.16.32.39,-0.12005902604667223,0,-0.13267556444141926,0,-0.1710618540773044,0,-0.08027097829888985,0,-0.08027097829888985,0
2004.02.12.16.42.39,-0.1465825622767004,0,-0.1692295310640905,0,-0.19412070744884508,0,-0.15184784689461966,0,-0.1465825622767004,0
2004.02.12.16.52.39,-0.12818751524757094,0,-0.11501724663692525,0,-0.14470472565670683,0,-0.12316183541456155,0,-0.11501724663692525,0
2004.02.12.17.02.39,-0.0005895529194239746,0,-0.09622511470442596,0,-0.09697393003489135,0,-0.12591332632000507,0,-0.0005895529194239746,0
2004.02.12.17.12.39,-0.09237432397500583,0,-0.14095197005456944,0,-0.13529837804310257,0,-0.18974265317602956,0,-0.09237432397500583,0
2004.02.12.17.22.39,-0.15217661456787107,0,-0.12195764166647804,0,-0.1525827769222815,0,-0.17651823356599666,0,-0.12195764166647804,0
2004.02.12.17.32.39,-0.15406153970380726,0,-0.18158059034220525,0,-0.18554165723121901,0,-0.16692999190256974,0,-0.15406153970380726,0
2004.02.12.17.42.39,-0.16423265304106655,0,-0.19562674615594183,0,-0.14372195455923936,0,-0.16073891402686985,0,-0.14372195455923936,0
2004.02.12.17.52.39,-0.10334075932230535,0,-0.038077504226761816,0,-0.08008393749307074,0,-0.18903460852306797,0,-0.038077504226761816,0
2004.02.12.18.02.39,-0.16035132213106396,0,-0.16690690349154974,0,-0.153378557396029,0,-0.21241687351772853,0,-0.153378557396029,0
2004.02.12.18.12.39,-0.09833613887186782,0,-0.09539878828141263,0,-0.17137071401460457,0,-0.11367248598383317,0,-0.09539878828141263,0
2004.02.12.18.22.39,-0.1516736933087348,0,-0.17929474811738916,0,-0.08527838986097025,0,-0.18762131316838776,0,-0.08527838986097025,0
2004.02.12.18.32.39,-0.15240173170426707,0,-0.1443342755748147,0,-0.10872617317048122,0,-0.14478893238300583,0,-0.10872617317048122,0
