bearing_id,snapshot_idx,anomaly_score,rul_score,top_feature_1,top_feature_2,top_feature_3,probable_fault,rca_context
b1_ch1,0,0.11150636600011887,1.0,High-freq energy ratio,Spectral bandwidth (Hz),BPFO band energy (outer race),outer race fault,"Bearing: b1_ch1
Snapshot index: 0
Anomaly score: 0.1115
RUL score: 1.0000 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - High-freq energy ratio: -0.9990 (↓ toward normal)
  - Spectral bandwidth (Hz): -0.9507 (↓ toward normal)
  - BPFO band energy (outer race): -0.8194 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - BPFI band energy (inner race): -0.0012 (↓ reduces RUL)
  - Spectral centroid (Hz): -0.0010 (↓ reduces RUL)
  - BSF band energy (ball fault): -0.0010 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: outer race fault"
b1_ch1,1,0.05836987638666813,1.0,High-freq energy ratio,Spectral bandwidth (Hz),BPFI band energy (inner race),inner race fault,"Bearing: b1_ch1
Snapshot index: 1
Anomaly score: 0.0584
RUL score: 1.0000 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - High-freq energy ratio: -1.2820 (↓ toward normal)
  - Spectral bandwidth (Hz): -1.0374 (↓ toward normal)
  - BPFI band energy (inner race): -0.6186 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - BSF band energy (ball fault): -0.0006 (↓ reduces RUL)
  - Spectral centroid (Hz): -0.0006 (↓ reduces RUL)
  - BPFI band energy (inner race): -0.0006 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: inner race fault"
b1_ch1,2,0.07252023204731517,1.0,High-freq energy ratio,Spectral bandwidth (Hz),Crest factor,impulsive fault (early stage),"Bearing: b1_ch1
Snapshot index: 2
Anomaly score: 0.0725
RUL score: 1.0000 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - High-freq energy ratio: -1.2906 (↓ toward normal)
  - Spectral bandwidth (Hz): -1.0845 (↓ toward normal)
  - Crest factor: -0.5696 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - BSF band energy (ball fault): -0.0003 (↓ reduces RUL)
  - Spectral centroid (Hz): -0.0003 (↓ reduces RUL)
  - Spectral bandwidth (Hz): -0.0002 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: impulsive fault (early stage)"
b1_ch1,3,0.14731860467472313,1.0,Kurtosis,Margin factor,Peak-to-peak amplitude,impulsive fault (spalling / cracking),"Bearing: b1_ch1
Snapshot index: 3
Anomaly score: 0.1473
RUL score: 1.0000 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - Kurtosis: -1.1292 (↓ toward normal)
  - Margin factor: -1.0335 (↓ toward normal)
  - Peak-to-peak amplitude: -1.0145 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - Crest factor: +0.0002 (↑ increases RUL)
  - Spectral centroid (Hz): -0.0001 (↓ reduces RUL)
  - BSF band energy (ball fault): -0.0001 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: impulsive fault (spalling / cracking)"
b1_ch1,52,0.058365739022977925,0.6770514845848083,Dominant frequency (Hz),Peak-to-peak amplitude,BPFI band energy (inner race),inner race fault,"Bearing: b1_ch1
Snapshot index: 52
Anomaly score: 0.0584
RUL score: 0.6771 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - Dominant frequency (Hz): -1.1407 (↓ toward normal)
  - Peak-to-peak amplitude: -0.8742 (↓ toward normal)
  - BPFI band energy (inner race): -0.7703 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - BSF band energy (ball fault): -0.0001 (↓ reduces RUL)
  - BPFI band energy (inner race): +0.0000 (↑ increases RUL)
  - BPFO band energy (outer race): -0.0000 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: inner race fault"
b1_ch1,565,0.012600833293877622,0.4166492521762848,Shape factor,BPFI band energy (inner race),RMS vibration,inner race fault,"Bearing: b1_ch1
Snapshot index: 565
Anomaly score: 0.0126
RUL score: 0.4166 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - Shape factor: -0.5927 (↓ toward normal)
  - BPFI band energy (inner race): -0.5785 (↓ toward normal)
  - RMS vibration: -0.5113 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - BPFI band energy (inner race): -0.0020 (↓ reduces RUL)
  - Spectral centroid (Hz): -0.0019 (↓ reduces RUL)
  - BSF band energy (ball fault): -0.0013 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: inner race fault"
b1_ch1,566,0.06872924617418208,0.41614073514938354,Peak-to-peak amplitude,BPFI band energy (inner race),Shape factor,inner race fault,"Bearing: b1_ch1
Snapshot index: 566
Anomaly score: 0.0687
RUL score: 0.4161 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - Peak-to-peak amplitude: -0.8656 (↓ toward normal)
  - BPFI band energy (inner race): -0.6276 (↓ toward normal)
  - Shape factor: -0.5613 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - BPFI band energy (inner race): -0.0019 (↓ reduces RUL)
  - Spectral centroid (Hz): -0.0018 (↓ reduces RUL)
  - BSF band energy (ball fault): -0.0012 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: inner race fault"
b1_ch1,568,0.008826727643934773,0.4195452630519867,BSF band energy (ball fault),Spectral entropy,RMS vibration,rolling element (ball) fault,"Bearing: b1_ch1
Snapshot index: 568
Anomaly score: 0.0088
RUL score: 0.4195 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - BSF band energy (ball fault): -0.6641 (↓ toward normal)
  - Spectral entropy: -0.6592 (↓ toward normal)
  - RMS vibration: -0.5430 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - BPFI band energy (inner race): -0.0023 (↓ reduces RUL)
  - Spectral centroid (Hz): -0.0020 (↓ reduces RUL)
  - BSF band energy (ball fault): -0.0012 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: rolling element (ball) fault"
b1_ch1,571,0.06110522047704803,0.41426101326942444,BPFI band energy (inner race),BSF band energy (ball fault),Shape factor,inner race fault,"Bearing: b1_ch1
Snapshot index: 571
Anomaly score: 0.0611
RUL score: 0.4143 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - BPFI band energy (inner race): -0.7112 (↓ toward normal)
  - BSF band energy (ball fault): -0.6532 (↓ toward normal)
  - Shape factor: -0.5555 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - BPFI band energy (inner race): -0.0018 (↓ reduces RUL)
  - Spectral centroid (Hz): -0.0018 (↓ reduces RUL)
  - BSF band energy (ball fault): -0.0016 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: inner race fault"
b1_ch1,572,0.0027121872876437747,0.4090808629989624,BPFI band energy (inner race),BSF band energy (ball fault),RMS vibration,inner race fault,"Bearing: b1_ch1
Snapshot index: 572
Anomaly score: 0.0027
RUL score: 0.4091 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - BPFI band energy (inner race): -0.7748 (↓ toward normal)
  - BSF band energy (ball fault): -0.6711 (↓ toward normal)
  - RMS vibration: -0.5683 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - Spectral centroid (Hz): -0.0019 (↓ reduces RUL)
  - BPFI band energy (inner race): -0.0018 (↓ reduces RUL)
  - BSF band energy (ball fault): -0.0017 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: inner race fault"
b1_ch1,573,0.02017898323696854,0.40269556641578674,BPFI band energy (inner race),BSF band energy (ball fault),Spectral entropy,inner race fault,"Bearing: b1_ch1
Snapshot index: 573
Anomaly score: 0.0202
RUL score: 0.4027 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - BPFI band energy (inner race): -0.8060 (↓ toward normal)
  - BSF band energy (ball fault): -0.6752 (↓ toward normal)
  - Spectral entropy: -0.6715 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - Spectral centroid (Hz): -0.0019 (↓ reduces RUL)
  - BPFI band energy (inner race): -0.0019 (↓ reduces RUL)
  - BSF band energy (ball fault): -0.0019 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: inner race fault"
b1_ch1,574,0.006974275504079808,0.3992936909198761,BPFI band energy (inner race),BSF band energy (ball fault),Shape factor,inner race fault,"Bearing: b1_ch1
Snapshot index: 574
Anomaly score: 0.0070
RUL score: 0.3993 (NORMAL)

Top anomaly drivers (Isolation Forest SHAP):
  - BPFI band energy (inner race): -0.7565 (↓ toward normal)
  - BSF band energy (ball fault): -0.7108 (↓ toward normal)
  - Shape factor: -0.5852 (↓ toward normal)

Top RUL drivers (LSTM SHAP):
  - BPFI band energy (inner race): -0.0018 (↓ reduces RUL)
  - Spectral centroid (Hz): -0.0018 (↓ reduces RUL)
  - BSF band energy (ball fault): -0.0017 (↓ reduces RUL)

CNN Autoencoder: no spectrogram image provided for this snapshot.

Probable fault type: inner race fault"
